VisitorId,Time spent (minutes),Money spent (euros),Day
580,29,17,1
1215,45,18,1
448,12,16,1
125,27,20,1
484,35,13,1
514,34,18,1
346,55,25,1
326,49,19,1
527,38,30,1
180,51,14,1
696,29,19,1
1224,30,18,1
1084,54,19,1
560,35,15,1
342,13,25,1
77,29,29,1
948,32,14,1
1070,37,11,1
1057,21,21,1
981,11,15,1
798,37,19,1
427,10,23,1
719,45,15,1
408,43,17,1
367,11,29,1
1381,40,14,1
582,27,18,1
470,49,26,1
239,45,22,1
767,21,26,1
174,26,10,1
368,39,26,1
104,37,18,1
485,47,23,1
338,22,17,1
1496,57,15,1
345,23,26,1
505,55,22,1
939,29,26,1
1422,50,15,1
1114,20,12,1
1275,53,15,1
849,25,23,1
263,41,11,1
315,31,28,1
298,12,22,1
1012,36,12,1
293,15,12,1
45,55,22,1
617,55,26,1
1051,58,35,1
165,25,24,1
193,84,16,1
1455,84,37,1
115,32,17,1
1150,39,29,1
1053,45,19,1
1225,61,21,1
443,34,21,1
690,61,16,1
776,48,30,1
1290,38,38,1
163,56,27,1
1262,39,27,1
728,28,20,1
1476,10,29,1
681,75,36,1
1060,75,19,1
914,70,31,1
1264,69,23,1
191,62,25,1
1305,82,36,1
224,47,35,1
904,10,32,1
444,16,37,1
383,89,28,1
1213,46,23,1
1481,24,38,1
1165,56,27,1
154,25,24,1
628,90,25,1
698,14,25,1
973,70,37,1
1239,75,37,1
396,80,17,1
1390,41,26,1
1142,67,40,1
106,44,30,1
1439,75,40,1
1282,47,23,1
1457,77,35,1
1032,58,32,1
820,57,17,1
440,59,28,1
1296,36,29,1
1498,86,21,1
826,63,40,1
1395,32,36,1
797,45,27,1
687,67,22,1
199,33,38,1
1130,41,15,1
519,58,29,1
1110,47,27,1
1189,13,15,1
1148,73,33,1
324,59,18,1
979,39,30,1
1202,14,24,1
1039,34,36,1
649,59,36,1
1043,30,36,1
1090,79,33,1
906,42,25,1
950,23,22,1
1456,27,32,1
561,35,33,1
371,60,35,1
938,78,30,1
954,37,18,1
1047,45,30,1
654,62,23,1
1460,31,32,1
1371,44,37,1
81,55,31,1
1359,70,31,1
1267,70,19,1
1482,79,35,1
629,55,22,1
743,51,39,1
670,10,38,1
1416,17,30,1
379,33,18,1
779,73,32,1
1312,78,17,1
525,44,25,1
930,70,37,1
623,50,39,1
422,33,35,1
200,37,19,1
1098,83,28,1
438,64,35,1
587,81,39,1
739,13,28,1
68,18,16,1
716,83,28,1
549,77,35,1
1522,42,23,1
782,65,39,1
1438,64,37,1
212,53,24,1
103,48,17,1
136,23,37,1
231,26,29,1
1293,58,38,1
1244,30,27,1
792,44,37,1
1196,16,32,1
1080,43,37,1
111,24,23,1
775,28,28,1
1480,35,29,1
351,36,34,1
618,50,28,1
727,33,27,1
291,55,25,1
395,15,22,1
642,27,26,1
1393,59,26,1
1075,43,16,1
946,28,23,1
260,44,31,1
1258,59,17,1
1253,47,29,1
331,32,36,1
1413,25,34,1
936,40,33,1
421,27,28,1
1011,49,38,1
1287,24,29,1
672,55,36,1
222,40,29,1
1210,25,29,1
1392,18,38,1
1106,12,38,1
788,25,17,1
1307,12,23,1
676,32,17,1
988,25,36,1
825,42,37,1
1147,14,32,1
405,37,22,1
1451,42,21,1
634,41,36,1
161,20,19,1
305,59,40,1
543,35,15,1
1431,33,40,1
770,18,27,1
1156,45,27,1
1366,63,23,1
1407,79,33,1
1118,46,40,1
78,27,40,1
980,61,33,1
908,83,32,1
86,41,21,1
531,111,28,1
417,79,35,1
678,96,39,1
1398,104,46,1
245,47,37,1
325,82,24,1
960,101,37,1
510,82,39,1
785,114,36,1
158,94,22,1
157,39,27,1
567,94,33,1
131,68,34,1
599,59,20,1
700,111,44,1
398,116,28,1
1486,112,28,1
1437,108,20,1
748,20,26,1
377,120,24,1
90,40,35,1
1444,114,31,1
833,120,45,1
1379,102,24,1
652,61,34,1
692,41,28,1
1261,61,29,1
69,61,32,1
142,27,25,1
350,89,33,1
1062,25,30,1
1068,57,70,1
507,45,66,1
378,118,32,1
1236,38,42,1
878,87,48,1
1087,23,30,1
1380,94,46,1
1104,95,27,1
258,101,46,1
1525,54,29,1
829,30,26,1
84,31,20,1
1056,64,32,1
495,24,23,1
1217,53,34,1
602,89,33,1
613,33,36,1
612,79,39,1
1211,52,31,1
1408,104,41,1
647,31,36,1
282,20,50,1
1248,37,42,1
401,21,23,1
736,41,23,1
463,99,31,1
321,21,50,1
663,33,24,1
