VisitorId,Time spent (minutes),Money spent (euros),Day
970,38,22,4
534,38,16.4,6
630,86,16.4,7
320,14,22,5
837,98,38.8,7
1207,110,38.8,1
1278,26,27.6,1
246,98,38.8,5
429,74,50,3
918,62,38.8,5
837,62,44.4,6
1207,26,33.2,7
488,,22,3
592,50,38.8,6
538,,33.2,7
1260,110,44.4,3
682,26,16.4,7
1278,74,50,4
1207,38,33.2,2
208,74,22,6
810,26,38.8,2
59,38,33.2,3
1109,26,22,4
480,14,33.2,7
1382,98,22,5
1387,62,22,2
320,38,44.4,7
1207,50,10.8,2
237,86,22,6
723,50,16.4,3
208,74,33.2,1
1051,86,22,2
1114,62,27.6,6
246,50,22,2
59,74,27.6,7
429,110,38.8,6
1282,38,38.8,6
1109,74,33.2,2
1282,50,38.8,7
791,50,22,7
1520,86,22,7
237,26,38.8,2
1410,38,22,6
364,50,50,6
1207,110,44.4,4
918,98,44.4,4
1519,110,27.6,5
59,62,33.2,6
970,74,10.8,6
429,50,22,7
68,38,27.6,5
682,110,33.2,3
319,98,22,7
1260,38,16.4,6
237,122,44.4,3
888,110,22,7
1519,38,44.4,1
1282,26,44.4,5
723,50,22,2
970,62,22,5
630,,22,4
804,50,38.8,3
1207,,22,6
837,38,33.2,6
918,,38.8,4
837,110,38.8,2
1410,38,50,6
1109,26,33.2,5
320,50,22,7
246,50,33.2,4
1114,98,16.4,5
59,14,27.6,2
971,26,27.6,6
592,62,22,3
1452,74,38.8,4
649,38,22,5
237,98,38.8,7
208,50,27.6,5
320,98,22,5
1519,,16.4,6
538,38,44.4,7
208,50,27.6,6
1207,74,38.8,4
1519,50,38.8,3
246,110,22,7
246,50,38.8,4
68,62,44.4,5
429,38,27.6,6
682,62,44.4,6
1207,62,27.6,6
723,110,38.8,6
1109,62,33.2,5
1114,26,38.8,3
918,110,38.8,4
1329,38,44.4,3
837,86,22,3
1519,62,38.8,7
1195,,44.4,7
1446,86,33.2,7
246,122,27.6,1
1109,74,27.6,7
804,110,22,7
888,98,33.2,7
1382,98,16.4,4
320,110,38.8,6
888,26,33.2,4
488,86,38.8,6
837,62,38.8,4
1282,98,50,1
538,38,50,2
59,62,38.8,3
364,50,38.8,5
682,14,33.2,3
1260,38,33.2,1
208,62,33.2,1
1114,98,50,3
1109,50,38.8,7
246,110,33.2,6
837,26,22,3
534,38,27.6,3
1519,26,27.6,5
1207,98,44.4,2
199,38,27.6,1
158,,16.4,2
837,98,44.4,6
888,74,33.2,5
59,50,38.8,7
918,26,27.6,7
1373,74,38.8,7
68,50,38.8,5
1004,62,27.6,7
1452,38,22,7
837,62,22,6
1278,38,22,7
837,50,27.6,4
1387,110,10.8,3
364,26,38.8,5
1519,38,33.2,3
1109,38,33.2,4
538,50,38.8,2
918,38,44.4,5
1387,110,27.6,3
1282,38,44.4,3
246,86,50,2
917,26,16.4,5
1410,38,33.2,4
538,62,38.8,2
1452,110,44.4,5
237,98,50,6
1387,38,38.8,5
1109,26,38.8,4
1410,26,22,5
60,86,27.6,2
1387,26,22,5
888,74,38.8,6
1109,62,22,2
246,,27.6,7
1282,98,16.4,6
246,98,22,3
1109,74,44.4,1
1207,110,16.4,5
52,50,33.2,3
1387,62,44.4,1
918,62,27.6,4
1051,62,22,5
208,26,22,7
682,26,38.8,6
237,86,38.8,7
208,62,50,1
917,,33.2,3
364,86,10.8,3
888,98,33.2,5
917,50,38.8,3
364,62,22,4
199,62,16.4,5
630,62,22,4
246,26,27.6,5
429,110,50,1
837,38,27.6,5
1207,98,33.2,4
457,50,50,7
429,14,50,2
1109,50,22,1
1387,14,16.4,5
970,110,22,7
246,86,44.4,7
1519,50,10.8,7
208,14,38.8,4
237,62,44.4,4
1207,62,22,4
320,26,22,5
888,74,44.4,6
813,50,33.2,7
320,26,27.6,6
682,86,38.8,3
1051,50,33.2,4
837,26,33.2,
1207,26,27.6,3
1207,38,22,2
1382,62,27.6,2
1282,38,50,4
59,74,22,1
534,26,38.8,2
457,,44.4,6
837,110,22,4
208,110,27.6,7
237,,33.2,
199,26,16.4,7
804,38,44.4,7
237,98,22,2
208,26,22,6
1410,26,27.6,5
917,74,33.2,7
1278,110,44.4,5
723,50,22,2
1278,14,44.4,4
630,38,27.6,6
917,62,33.2,3
534,98,16.4,1
917,98,33.2,5
199,38,27.6,1
630,50,16.4,5
1410,86,44.4,3
59,62,27.6,2
813,98,16.4,6
320,26,44.4,5
538,50,33.2,7
208,98,27.6,3
199,86,33.2,4
1109,38,27.6,3
1245,26,22,1
1446,38,10.8,7
68,26,38.8,2
917,50,38.8,7
1282,38,22,4
1387,26,33.2,4
682,74,33.2,4
804,26,44.4,4
1114,122,33.2,7
237,110,16.4,6
917,38,27.6,7
1520,26,22,5
888,38,27.6,1
320,38,38.8,4
1382,38,38.8,5
592,50,33.2,5
1282,86,33.2,4
429,,44.4,6
1410,26,38.8,6
208,50,38.8,1
1004,26,22,7
320,50,33.2,3
1207,14,33.2,6
1410,26,38.8,3
52,62,33.2,2
1446,26,33.2,6
837,50,27.6,3
320,74,22,5
630,50,27.6,7
917,62,22,2
246,62,38.8,6
837,26,27.6,6
319,14,33.2,5
918,,27.6,4
208,26,33.2,2
1109,,27.6,5
630,86,38.8,5
1382,98,27.6,6
1207,38,38.8,6
630,122,44.4,4
1519,62,38.8,5
1195,26,27.6,6
68,98,38.8,5
630,122,38.8,5
630,38,44.4,7
791,50,38.8,3
630,110,22,7
320,62,27.6,6
320,110,38.8,6
1109,38,22,5
320,26,22,2
208,74,50,7
1410,26,44.4,7
837,50,22,3
837,38,44.4,1
488,110,44.4,6
630,,33.2,2
682,26,38.8,3
320,26,38.8,1
970,38,27.6,3
1519,98,50,2
319,50,50,7
1109,98,44.4,3
199,122,10.8,3
1207,26,27.6,5
917,62,22,7
1446,98,22,2
1519,98,22,5
1195,86,38.8,4
68,122,27.6,5
1109,26,38.8,7
1207,110,50,1
1207,50,22,5
60,38,16.4,5
429,26,44.4,5
52,26,44.4,1
488,50,22,1
320,62,16.4,2
320,38,27.6,5
1329,74,27.6,3
1452,26,16.4,6
918,26,38.8,3
208,62,50,3
837,62,22,7
1329,62,27.6,3
592,74,22,3
1446,38,33.2,2
888,122,27.6,6
1519,62,22,7
429,38,38.8,7
1109,62,27.6,3
1446,14,27.6,5
723,50,50,2
971,86,22,6
534,110,22,6
630,26,33.2,6
208,110,22,3
837,26,38.8,6
68,86,22,7
1387,26,10.8,1
630,26,33.2,1
68,86,44.4,2
208,26,22,6
246,110,27.6,4
1260,62,22,4
592,98,16.4,7
1207,,44.4,4
918,38,33.2,4
682,74,22,3
1109,26,27.6,7
52,98,33.2,4
246,74,27.6,1
59,122,27.6,2
